n=10000,t=6.1231
n=20000,t=24.9727
n=30000,t=55.7891
n=40000,t=99.4544
n=50000,t=155.5598
n=60000,t=225.0614
n=70000,t=311.6767
n=80000,t=493.4576
n=90000,t=641.7099
n=100000,t=764.0230
n=110000,t=933.4579
n=120000,t=1102.3543
n=130000,t=1279.8770
n=140000,t=1301.0848
n=150000,t=1450.5698
n=160000,t=1647.8447
n=170000,t=1872.6587
n=180000,t=2110.4665
n=190000,t=2351.9168
n=200000,t=2633.3099
n=210000,t=2920.3218
n=220000,t=3228.0731
n=230000,t=3560.0062
n=240000,t=3870.4429
n=250000,t=4221.1601
n=260000,t=4632.5037
n=270000,t=5071.9500
n=280000,t=5462.3076
n=290000,t=5820.5838
n=300000,t=6240.0479
n=300000,t=5918.1639
n=400000,t=11626.9561
