n=10000,t=0.0710
n=20000,t=0.1515
n=30000,t=0.2320
n=40000,t=0.3161
n=50000,t=0.4066
n=60000,t=0.4924
n=70000,t=0.5881
n=80000,t=0.6818
n=90000,t=0.7842
n=100000,t=0.9107
n=110000,t=1.0023
n=120000,t=1.1032
n=130000,t=1.1534
n=140000,t=1.2640
n=150000,t=1.3586
n=160000,t=1.4894
n=170000,t=1.5756
n=180000,t=1.7056
n=190000,t=1.7891
n=200000,t=1.8761
n=210000,t=1.9984
n=220000,t=2.1196
n=230000,t=2.1791
n=240000,t=2.2874
n=250000,t=2.3998
n=260000,t=2.4836
n=270000,t=2.6139
n=280000,t=2.7501
n=290000,t=2.8170
n=300000,t=2.9236
n=310000,t=3.0662
n=320000,t=3.1825
n=330000,t=3.2993
n=340000,t=3.3895
n=350000,t=3.5645
n=360000,t=3.6222
n=370000,t=3.7372
n=380000,t=3.7940
n=390000,t=3.9579
n=400000,t=4.0763
n=410000,t=4.1760
n=420000,t=4.2481
n=430000,t=4.3540
n=440000,t=4.4734
n=450000,t=4.6835
n=460000,t=4.7189
n=470000,t=4.8243
n=480000,t=4.9725
n=490000,t=5.0353
n=500000,t=5.1236
n=510000,t=5.2348
n=520000,t=5.3974
n=530000,t=5.4548
n=540000,t=5.5849
n=550000,t=5.7014
n=560000,t=5.8147
n=570000,t=5.9083
n=580000,t=6.1142
n=590000,t=6.1317
n=600000,t=6.3032
n=610000,t=6.4381
n=620000,t=6.5253
n=630000,t=6.6374
n=640000,t=6.7654
n=650000,t=6.9678
n=660000,t=7.1456
n=670000,t=7.2022
n=680000,t=7.3008
n=690000,t=7.4433
n=700000,t=10.2326
n=710000,t=7.6052
n=720000,t=7.8081
n=730000,t=7.9199
n=740000,t=8.1018
n=750000,t=8.1138
n=760000,t=8.3086
n=770000,t=8.5014
n=780000,t=8.5259
n=790000,t=8.6799
n=800000,t=9.0458
n=810000,t=8.8961
n=820000,t=9.0036
n=830000,t=9.0794
n=840000,t=9.3189
n=850000,t=9.4554
n=860000,t=9.7063
n=870000,t=9.7758
n=880000,t=9.6596
n=890000,t=9.6945
n=900000,t=9.8013
n=910000,t=9.9081
n=920000,t=10.1177
n=930000,t=10.1378
n=940000,t=10.2667
n=950000,t=10.3924
n=960000,t=10.5146
n=970000,t=10.7630
n=980000,t=10.7792
n=990000,t=10.8813
